"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4,094195920E-1;-1,128028393E0;-6,377568245E-1;-6,566753387E-1;1,452723072E0
4,117824400E-1;-1,318110824E0;-7,717700005E-1;-7,384114265E-1;1,696554306E0
4,141473610E-1;-1,248429418E0;-5,994443893E-1;-7,033915520E-1;1,553276943E0
4,165101330E-1;-1,176429391E0;-5,634446144E-1;-7,843918800E-1;1,522079685E0
4,188750150E-1;-1,246638417E0;-6,185884476E-1;-8,848118782E-1;1,649136462E0
4,212377860E-1;-1,380493402E0;-5,968561172E-1;-9,914736748E-1;1,801393712E0
4,236029380E-1;-1,479692459E0;-3,948526382E-1;-1,042345047E0;1,852533826E0
4,259654780E-1;-1,331225753E0;-1,825456619E-1;-1,052848816E0;1,707037068E0
4,283306300E-1;-1,190065026E0;-9,729003906E-2;-1,160298347E0;1,664936147E0
4,306933960E-1;-1,057709813E0;5,114793777E-2;-1,233805180E0;1,625927852E0
4,330583170E-1;-8,930423856E-1;1,838884354E-1;-1,309872150E0;1,595965134E0
4,354210890E-1;-8,008182645E-1;3,579640388E-1;-1,430916309E0;1,678383040E0
4,377860870E-1;-6,296983957E-1;5,638532639E-1;-1,570497990E0;1,783511847E0
4,401488580E-1;-5,571098924E-1;6,185946465E-1;-1,773457527E0;1,959127961E0
4,425137790E-1;-4,255820811E-1;6,545038223E-1;-1,975209236E0;2,123898982E0
4,448764730E-1;-3,614982665E-1;6,745085716E-1;-2,123449802E0;2,257140198E0
4,472417020E-1;-2,132585943E-1;6,346187592E-1;-2,270307541E0;2,366963567E0
4,496050910E-1;-1,497899592E-1;6,419157982E-1;-2,430593967E0;2,518388365E0
4,519687420E-1;1,821005344E-2;5,559659004E-1;-2,552543640E0;2,612452626E0
4,543319500E-1;1,154395640E-1;5,149374008E-1;-2,614476681E0;2,667203617E0
4,566971020E-1;1,972324848E-1;4,634766579E-1;-2,613551617E0;2,661646731E0
4,590598730E-1;1,155991554E-1;3,602104187E-1;-2,428615570E0;2,457903232E0
4,614247940E-1;-5,092918873E-3;2,171440125E-1;-2,177563190E0;2,188369006E0
4,637875650E-1;-4,814291000E-2;1,110939980E-1;-1,938612938E0;1,942390213E0
4,661525340E-1;-9,611937404E-2;-1,585578918E-2;-1,681932449E0;1,684751348E0
4,685153050E-1;-1,863100231E-1;-1,124663353E-1;-1,362970829E0;1,380235336E0
4,708802270E-1;-3,178570271E-1;-1,562633514E-1;-1,137506485E0;1,191374134E0
4,732429980E-1;-4,622657895E-1;-2,040786743E-1;-1,021618843E0;1,139755599E0
4,756081500E-1;-5,063580275E-1;-2,425804138E-1;-9,302701950E-1;1,086575513E0
4,779706900E-1;-4,675297737E-1;-1,901431084E-1;-8,394670486E-1;9,795118257E-1
4,803358420E-1;-3,517190218E-1;-2,385849953E-1;-7,262845039E-1;8,414976238E-1
4,826986130E-1;-2,574965954E-1;-1,582722664E-1;-6,446385384E-1;7,119785475E-1
4,850635340E-1;-7,027781010E-2;-7,296609879E-2;-4,621310234E-1;4,731047505E-1
4,874263050E-1;1,498147845E-1;-5,960702896E-2;-3,749551773E-1;4,081529769E-1
4,897912700E-1;3,869744539E-1;3,679275513E-3;-2,142772675E-1;4,423545099E-1
4,921541180E-1;6,254305840E-1;8,094215393E-2;-9,352684021E-2;6,375439730E-1
4,945190390E-1;8,994429708E-1;1,643376350E-1;-1,567554474E-2;9,144671884E-1
4,968818100E-1;1,056065440E0;2,909736633E-1;-1,869869232E-2;1,095577258E0
4,992467310E-1;1,199159384E0;3,519854546E-1;-2,542114258E-2;1,250009289E0
5,016094970E-1;1,299019814E0;3,696212769E-1;-9,479331970E-2;1,353904774E0
5,039746490E-1;1,360106468E0;3,679394722E-1;-1,790924072E-1;1,420332056E0
5,063371900E-1;1,362707376E0;3,532681465E-1;-2,673211098E-1;1,432909750E0
5,087023420E-1;1,371574640E0;3,054637909E-1;-3,524246216E-1;1,448698808E0
5,110651130E-1;1,353192091E0;2,377777100E-1;-4,268112183E-1;1,438692076E0
5,134300200E-1;1,350508690E0;1,770496368E-1;-4,905519485E-1;1,447709056E0
5,157927910E-1;1,367052317E0;3,694105148E-2;-4,738078117E-1;1,447304571E0
5,181577890E-1;1,369963050E0;-8,727407455E-2;-3,296017647E-1;1,411755236E0
5,205205600E-1;1,335157633E0;-1,701960564E-1;-1,981220245E-1;1,360464972E0
5,228854810E-1;1,323776126E0;-2,370419502E-1;-4,996490479E-2;1,345759492E0
5,252482480E-1;1,275721550E0;-2,959036827E-1;4,896926880E-2;1,310504655E0
5,276133990E-1;1,265101671E0;-3,954648972E-1;1,100244522E-1;1,330030114E0
5,299759400E-1;1,240687966E0;-3,781690598E-1;1,814737320E-1;1,309675984E0
5,323410920E-1;1,211949587E0;-4,229946136E-1;3,034172058E-1;1,319017909E0
5,347036320E-1;1,188752651E0;-4,679484367E-1;4,102544785E-1;1,341796312E0
5,370688900E-1;1,109059572E0;-5,007047653E-1;4,348869324E-1;1,292224841E0
5,394315840E-1;1,029576540E0;-4,681577682E-1;4,647817612E-1;1,222792555E0
5,417965050E-1;9,703033566E-1;-4,572682381E-1;4,998445511E-1;1,183396561E0
5,441592770E-1;9,823033214E-1;-4,311680794E-1;5,638952255E-1;1,211942059E0
5,465242750E-1;9,665428400E-1;-4,355940819E-1;6,257667542E-1;1,231069168E0
5,488870550E-1;9,508932829E-1;-4,051356316E-1;6,927614212E-1;1,244287468E0
5,512519760E-1;9,478975534E-1;-3,966217041E-1;7,478246689E-1;1,270850221E0
5,536147470E-1;9,429476261E-1;-3,486218452E-1;7,868251801E-1;1,276628873E0
5,559798990E-1;8,860564232E-1;-2,313914299E-1;7,908124924E-1;1,209967924E0
5,583424400E-1;8,061692715E-1;-1,486048698E-1;8,139476776E-1;1,155206961E0
5,607075860E-1;6,894624233E-1;-1,141023636E-2;8,614759445E-1;1,103462473E0
5,630703580E-1;5,749548674E-1;6,485319138E-2;8,266267776E-1;1,009004889E0
5,654352790E-1;4,907456636E-1;1,516757011E-1;8,122386932E-1;9,610247237E-1
5,677980500E-1;4,481319189E-1;2,280106544E-1;7,476148605E-1;9,009656236E-1
5,701630480E-1;4,309977293E-1;2,184128761E-1;6,703824997E-1;8,263630697E-1
5,725258150E-1;4,077999592E-1;2,911658287E-1;5,807161331E-1;7,670134117E-1
5,748907360E-1;4,172368050E-1;3,044586182E-1;4,769468307E-1;7,030361875E-1
5,772534310E-1;3,899679184E-1;2,972736359E-1;3,931856155E-1;6,285232853E-1
5,796186590E-1;3,599966764E-1;3,469939232E-1;3,433446884E-1;6,065376863E-1
5,819812000E-1;3,278995752E-1;3,196182251E-1;3,176078796E-1;5,572689714E-1
5,843463660E-1;3,265817165E-1;3,241539001E-1;2,460937500E-1;5,218174991E-1
5,867089060E-1;3,711891174E-1;3,184275627E-1;1,949300766E-1;5,264743188E-1
5,890740580E-1;2,858355045E-1;2,619194984E-1;1,834163666E-1;4,288884737E-1
5,914368290E-1;2,361403704E-1;2,811002731E-1;1,797780991E-1;4,087784277E-1
5,938017500E-1;1,682454348E-1;2,186093330E-1;1,540918350E-1;3,159760441E-1
5,961645320E-1;1,109203100E-1;1,654729843E-1;1,505689621E-1;2,497111052E-1
5,985295300E-1;2,756917477E-2;8,300638199E-2;1,329755783E-1;1,591622546E-1
6,008923010E-1;8,557796478E-3;3,716659546E-2;1,258001328E-1;1,314544221E-1
6,032572220E-1;-3,602474928E-2;4,455566406E-3;8,253479004E-2;9,016443977E-2
6,056199930E-1;-3,247237206E-2;-8,239221573E-2;4,561996460E-2;9,961984406E-2
6,079851590E-1;-1,025656462E-1;-1,344614029E-1;1,966476440E-3;1,691255382E-1
6,103476990E-1;-1,617021561E-1;-1,740894318E-1;-3,974628448E-2;2,409034758E-1
6,127128510E-1;-3,086014390E-1;-6,423950195E-2;-1,119298935E-1;3,344994213E-1
6,150756230E-1;-5,123034120E-1;-9,450435638E-3;-1,220798492E-1;5,267329363E-1
6,174405440E-1;-6,920473576E-1;4,768371582E-5;-8,847236633E-2;6,976796593E-1
6,198033200E-1;-8,066725731E-1;6,318426132E-2;-6,578445435E-2;8,118130853E-1
6,221682410E-1;-9,223302007E-1;5,304384232E-2;2,727985382E-2;9,242569116E-1
6,245310120E-1;-9,167216420E-1;5,568933487E-2;1,098051071E-1;9,249524488E-1
6,268960100E-1;-8,780804276E-1;8,673906326E-2;2,512359619E-1;9,174248803E-1
6,292587040E-1;-8,241152763E-1;7,549715042E-2;3,496208191E-1;8,983877368E-1
6,316236980E-1;-7,363309264E-1;4,709577560E-2;4,248056412E-1;8,513877366E-1
6,339864690E-1;-6,278739572E-1;1,682281494E-2;5,028657913E-1;8,046009677E-1
6,363516210E-1;-4,619880915E-1;-5,436372757E-2;5,306167603E-1;7,056504501E-1
6,387141610E-1;-3,650940657E-1;-9,803771973E-2;4,986209869E-1;6,257219509E-1
6,410793130E-1;-3,224306703E-1;-1,256823540E-1;5,166749954E-1;6,218606292E-1
6,434420700E-1;-2,499077916E-1;-1,877851486E-1;6,306056976E-1;7,038328724E-1
6,458069910E-1;-7,242274284E-2;-2,666926384E-1;6,272792816E-1;6,854555523E-1
6,481697620E-1;6,885325909E-2;-3,007764816E-1;6,570768356E-1;7,259181986E-1
